HDI_rank,Country,Human_poverty_index(HPI-1)-rank,Human_poverty_index(HPI-1)-value(percent),Probability_at_birth_of_not_surviving_to_age_40(percent_of_cohort)2000-05,Adult_illiteracy_rate(percent_aged_15_and_older)1995-2005,Population_not_using_an_inmproved_water_source(percent)2004,Children_under_weigth_for_age(percent_under_age_5)1996-2005,Population_below_income_poverty_line(percent)-one_dollarUS_a_day_1990-2005,Population_below_income_poverty_line(percent)-two_dollarUS_a_day_1990-2005,Population_below_income_poverty_line(percent)-National_poverty_line_1990-2004,HPI-1_rank_minus_income_poverty_rank,HDI_category
21,"Hong Kong, China (SAR)",,,1.5,,,,,,,,HIGH HUMAN DEVELOPMENT
25,Singapore,7,5.2,1.8,7.5,0,3,,,,,HIGH HUMAN DEVELOPMENT
26,Korea (Republic of),,,2.5,1.0,8,,<2,<2,,,HIGH HUMAN DEVELOPMENT
28,Cyprus,,,2.4,3.2,0,,,,,,HIGH HUMAN DEVELOPMENT
30,Brunei Darussalam,,,3.0,7.3,,,,,,,HIGH HUMAN DEVELOPMENT
31,Barbados,1,3.0,3.7,,0,6,,,,,HIGH HUMAN DEVELOPMENT
33,Kuwait,,,2.7,6.7,,10,,,,,HIGH HUMAN DEVELOPMENT
35,Qatar,13,7.8,3.7,11.0,0,6,,,,,HIGH HUMAN DEVELOPMENT
38,Argentina,4,4.1,4.9,2.8,4,4,6.6,17.4,,-14,HIGH HUMAN DEVELOPMENT
39,United Arab Emirates,17,8.4,2.1,11.3,0,14,,,,,HIGH HUMAN DEVELOPMENT
40,Chile,3,3.7,3.5,4.3,5,1,<2,5.6,17.0,1,HIGH HUMAN DEVELOPMENT
41,Bahrain,,,3.4,13.5,,9,,,,,HIGH HUMAN DEVELOPMENT
46,Uruguay,2,3.5,4.3,3.2,0,5,<2,5.7,,0,HIGH HUMAN DEVELOPMENT
48,Costa Rica,5,4.4,3.7,5.1,3,5,3.3,9.8,22.0,-10,HIGH HUMAN DEVELOPMENT
49,Bahamas,,,10.6,,3,,,,,,HIGH HUMAN DEVELOPMENT
50,Seychelles,,,,8.2,12,6,,,,,HIGH HUMAN DEVELOPMENT
51,Cuba,6,4.7,3.1,,9,4,,,,,HIGH HUMAN DEVELOPMENT
52,Mexico,10,6.8,5.8,8.4,3,8,3.0,11.6,17.6,-7,HIGH HUMAN DEVELOPMENT
54,Saint Kitts and Nevis,,,,2.2,0,,,,,,HIGH HUMAN DEVELOPMENT
55,Tonga,,,5.0,1.1,0,,,,,,HIGH HUMAN DEVELOPMENT
56,Libyan Arab Jamahiriya,,,4.6,15.8,,5,,,,,HIGH HUMAN DEVELOPMENT
57,Antigua and Barbuda,,,,14.2,9,10,,,,,HIGH HUMAN DEVELOPMENT
58,Oman,,,3.7,18.6,,18,,,,,HIGH HUMAN DEVELOPMENT
59,Trinidad and Tobago,12,7.3,9.1,1.6,9,6,12.4,39.0,21.0,-19,HIGH HUMAN DEVELOPMENT
61,Saudi Arabia,,,5.7,17.1,,14,,,,,HIGH HUMAN DEVELOPMENT
62,Panama,15,8.0,6.5,8.1,10,8,7.4,18.0,37.3,-10,HIGH HUMAN DEVELOPMENT
63,Malaysia,16,8.3,4.4,11.3,1,11,<2,9.3,15.5,9,HIGH HUMAN DEVELOPMENT
65,Mauritius,27,11.4,5.1,15.7,0,15,,,,,HIGH HUMAN DEVELOPMENT
70,Brazil,23,9.7,9.2,11.4,10,6,7.5,21.2,21.5,-6,HIGH HUMAN DEVELOPMENT
71,Dominica,,,,12.0,3,5,,,,,MEDIUM HUMAN DEVELOPMENT
72,Saint Lucia,8,6.5,5.6,5.2,2,14,,,,,MEDIUM HUMAN DEVELOPMENT
74,Venezuela (Bolivarian Republic of),21,8.8,7.3,7.0,17,5,18.5,40.1,31.3,-24,MEDIUM HUMAN DEVELOPMENT
75,Colombia,14,7.9,9.2,7.2,7,7,7.0,17.8,64.0,-10,MEDIUM HUMAN DEVELOPMENT
77,Samoa,,,6.6,1.4,12,,,,,,MEDIUM HUMAN DEVELOPMENT
78,Thailand,24,10.0,12.1,7.4,1,18,<2,25.2,13.6,15,MEDIUM HUMAN DEVELOPMENT
79,Dominican Republic,26,10.5,10.5,13.0,5,5,2.8,16.2,42.2,6,MEDIUM HUMAN DEVELOPMENT
80,Belize,43,17.5,5.4,24.9,9,6,,,,,MEDIUM HUMAN DEVELOPMENT
81,China,29,11.7,6.8,9.1,23,8,9.9,34.9,4.6,-3,MEDIUM HUMAN DEVELOPMENT
82,Grenada,,,9.7,4.0,5,,,,,,MEDIUM HUMAN DEVELOPMENT
84,Turkey,22,9.2,6.5,12.6,4,4,3.4,18.7,27.0,-1,MEDIUM HUMAN DEVELOPMENT
85,Suriname,25,10.2,9.8,10.4,8,13,,,,,MEDIUM HUMAN DEVELOPMENT
86,Jordan,11,6.9,6.4,8.9,3,4,<2,7.0,14.2,5,MEDIUM HUMAN DEVELOPMENT
87,Peru,28,11.6,9.7,12.1,17,8,10.5,30.6,53.1,-5,MEDIUM HUMAN DEVELOPMENT
88,Lebanon,18,8.5,6.3,,0,4,,,,,MEDIUM HUMAN DEVELOPMENT
89,Ecuador,19,8.7,8.1,9.0,6,12,17.7,40.8,46.0,-25,MEDIUM HUMAN DEVELOPMENT
90,Philippines,37,15.3,7.0,7.4,15,28,14.8,43.0,36.8,-6,MEDIUM HUMAN DEVELOPMENT
91,Tunisia,45,17.9,4.6,25.7,7,4,<2,6.6,7.6,27,MEDIUM HUMAN DEVELOPMENT
92,Fiji,50,21.2,6.9,,53,8,,,,,MEDIUM HUMAN DEVELOPMENT
93,Saint Vincent and the Grenadines,,,6.7,11.9,,,,,,,MEDIUM HUMAN DEVELOPMENT
94,Iran (Islamic Republic of),30,12.9,7.8,17.6,6,11,<2,7.3,,19,MEDIUM HUMAN DEVELOPMENT
95,Paraguay,20,8.8,9.7,6.5,14,5,13.6,29.8,21.8,-16,MEDIUM HUMAN DEVELOPMENT
97,Guyana,33,14.0,16.6,,17,14,,,,,MEDIUM HUMAN DEVELOPMENT
99,Sri Lanka,44,17.8,7.2,9.3,21,29,5.6,41.6,25.0,11,MEDIUM HUMAN DEVELOPMENT
100,Maldives,42,17.0,12.1,3.7,17,30,,,,,MEDIUM HUMAN DEVELOPMENT
101,Jamaica,34,14.3,8.3,20.1,7,4,<2,14.4,18.7,21,MEDIUM HUMAN DEVELOPMENT
102,Cape Verde,38,15.8,7.5,18.8,20,14,,,,,MEDIUM HUMAN DEVELOPMENT
103,El Salvador,35,15.1,9.6,19.4,16,10,19.0,40.6,37.2,-15,MEDIUM HUMAN DEVELOPMENT
104,Algeria,51,21.5,7.7,30.1,15,10,<2,15.1,22.6,31,MEDIUM HUMAN DEVELOPMENT
105,Viet Nam,36,15.2,6.7,9.7,15,27,,,28.9,,MEDIUM HUMAN DEVELOPMENT
106,Occupied Palestinian Territories,9,6.6,5.2,7.6,8,5,,,,,MEDIUM HUMAN DEVELOPMENT
107,Indonesia,47,18.2,8.7,9.6,23,28,7.5,52.4,27.1,10,MEDIUM HUMAN DEVELOPMENT
108,Syrian Arab Republic,31,13.6,4.6,19.2,7,7,,,,,MEDIUM HUMAN DEVELOPMENT
110,Nicaragua,46,17.9,9.5,23.3,21,10,45.1,79.9,47.9,-28,MEDIUM HUMAN DEVELOPMENT
112,Egypt,48,20.0,7.5,28.6,2,6,3.1,43.9,16.7,18,MEDIUM HUMAN DEVELOPMENT
114,Mongolia,40,16.3,11.6,2.2,38,7,10.8,44.6,36.1,0,MEDIUM HUMAN DEVELOPMENT
115,Honduras,41,16.5,12.9,20.0,13,17,14.9,35.7,50.7,-5,MEDIUM HUMAN DEVELOPMENT
117,Bolivia,32,13.6,15.5,13.3,15,8,23.2,42.2,62.7,-21,MEDIUM HUMAN DEVELOPMENT
118,Guatemala,54,22.5,12.5,30.9,5,23,13.5,31.9,56.2,6,MEDIUM HUMAN DEVELOPMENT
119,Gabon,49,20.4,27.1,16.0,12,12,,,,,MEDIUM HUMAN DEVELOPMENT
120,Vanuatu,56,24.6,8.8,26.0,40,20,,,,,MEDIUM HUMAN DEVELOPMENT
121,South Africa,55,23.5,31.7,17.6,12,12,10.7,34.1,,10,MEDIUM HUMAN DEVELOPMENT
123,Sao Tome and Principe,39,15.8,15.1,15.1,21,13,,,,,MEDIUM HUMAN DEVELOPMENT
124,Botswana,63,31.4,44.0,18.8,5,13,28.0,55.5,,-9,MEDIUM HUMAN DEVELOPMENT
125,Namibia,58,26.5,35.9,15.0,13,24,34.9,55.8,,-16,MEDIUM HUMAN DEVELOPMENT
126,Morocco,68,33.4,8.2,47.7,19,10,<2,14.3,19.0,41,MEDIUM HUMAN DEVELOPMENT
127,Equatorial Guinea,66,32.4,35.6,13.0,57,19,,,,,MEDIUM HUMAN DEVELOPMENT
128,India,62,31.3,16.8,39.0,14,47,34.3,80.4,28.6,-13,MEDIUM HUMAN DEVELOPMENT
129,Solomon Islands,53,22.4,16.1,23.4,30,21,,,,,MEDIUM HUMAN DEVELOPMENT
130,Lao People's Democratic Republic,70,34.5,16.6,31.3,49,40,27.0,74.1,38.6,-2,MEDIUM HUMAN DEVELOPMENT
131,Cambodia,85,38.6,24.1,26.4,59,45,34.1,77.7,35.0,6,MEDIUM HUMAN DEVELOPMENT
132,Myanmar,52,21.5,21.0,10.1,22,32,,,,,MEDIUM HUMAN DEVELOPMENT
133,Bhutan,86,38.9,16.8,53.0,38,19,,,,,MEDIUM HUMAN DEVELOPMENT
134,Comoros,61,31.3,15.3,,14,25,,,,,MEDIUM HUMAN DEVELOPMENT
135,Ghana,65,32.3,23.8,42.1,25,22,44.8,78.5,39.5,-16,MEDIUM HUMAN DEVELOPMENT
136,Pakistan,77,36.2,15.4,50.1,9,38,17.0,73.6,32.6,15,MEDIUM HUMAN DEVELOPMENT
137,Mauritania,87,39.2,14.6,48.8,47,32,25.9,63.1,46.3,12,MEDIUM HUMAN DEVELOPMENT
138,Lesotho,71,34.5,47.8,17.8,21,20,36.4,56.1,,-10,MEDIUM HUMAN DEVELOPMENT
139,Congo,57,26.2,30.1,15.3,42,15,,,,,MEDIUM HUMAN DEVELOPMENT
140,Bangladesh,93,40.5,16.4,52.5,26,48,41.3,84.0,49.8,4,MEDIUM HUMAN DEVELOPMENT
141,Swaziland,73,35.4,48.0,20.4,38,10,47.7,77.8,,-13,MEDIUM HUMAN DEVELOPMENT
142,Nepal,84,38.1,17.4,51.4,10,48,24.1,68.5,30.9,11,MEDIUM HUMAN DEVELOPMENT
143,Madagascar,75,35.8,24.4,29.3,50,42,61.0,85.1,71.3,-20,MEDIUM HUMAN DEVELOPMENT
144,Cameroon,64,31.8,35.7,32.1,34,18,17.1,50.6,40.2,4,MEDIUM HUMAN DEVELOPMENT
145,Papua New Guinea,90,40.3,20.7,42.7,61,35,,,37.5,,MEDIUM HUMAN DEVELOPMENT
146,Haiti,74,35.4,21.4,,46,17,53.9,78.0,65.0,-13,MEDIUM HUMAN DEVELOPMENT
147,Sudan,69,34.4,26.1,39.1,30,41,,,,,MEDIUM HUMAN DEVELOPMENT
148,Kenya,60,30.8,35.1,26.4,39,20,22.8,58.3,52.0,-4,MEDIUM HUMAN DEVELOPMENT
149,Djibouti,59,28.5,28.6,,27,27,,,,,MEDIUM HUMAN DEVELOPMENT
150,Timor-Leste,95,41.8,21.2,49.9,42,46,,,,,MEDIUM HUMAN DEVELOPMENT
151,Zimbabwe,91,40.3,57.4,10.6,19,17,56.1,83.0,34.9,-4,MEDIUM HUMAN DEVELOPMENT
152,Togo,83,38.1,24.1,46.8,48,25,,,32.3,,MEDIUM HUMAN DEVELOPMENT
